author,comment,publishedAt,likeCount
@octa-sepi2727,"Enak kan lihat wajah iki yg dlu, dlu fans banget ma iki, skrg lihat wajah nya udah banget",2025-12-07T12:17:09Z,0
@Bagas_kara99,Nyanyi oke nglawak juga oke nih iky 😂,2025-12-05T20:35:33Z,0
@IlhamWahyudi-xx9qo,kapan nih mau undang ayu Ting Ting ?,2025-12-04T23:47:57Z,0
@gacorkejulietsaja,"konten sangat kreatif dan pembawaan nya sangat detail , sangat bermanfaat dan menghibur  ^^",2025-12-04T04:00:41Z,0
@nurulqisthi4105,"Halo kak. Mau request undang CHNCE main ke tempat kakak, CHNCE redebut dari UN1TY dan CHNCE baru banget ngeluarin single pertama mereka as CHNCE ditanggal 28 november 2025. Ditunggu ya, kak. Terimakasih banyak kak",2025-12-03T22:07:25Z,0
@lidayanuarti8149,"Gara"" Sarbo'ah aku ke sini ha ha..iki ih ha ha",2025-12-03T12:21:42Z,0
@KusnandarAnkus,Hadir lah kalian yg nama nya Asep ..... 😂,2025-12-02T14:19:25Z,0
@HeraHerdianti-u3r,Episode terngakak,2025-11-30T12:43:01Z,0
@ryndwptra,undang vindes kaya nya bakalan pecah sih😂,2025-11-28T07:44:29Z,0
@oktavianabrtarigangersang,Bapaks bapaks kudu denger ni😂,2025-11-25T04:07:05Z,0
@irmarachmawati6328,"Surya adalah gua yg kalo anak2 gw lg makan kudu rapih 😁, Nasi jatuh 1 butir, comot pake tisu 😅.",2025-11-22T23:57:49Z,0
@AndiniDeti,😂 sumpah coy laki gw pas anakhw lahir azanin subuh auto senyum* bidannya 😅,2025-11-22T22:54:34Z,0
@IvanaSeptiani,Lucuuu,2025-11-21T22:32:06Z,0
@imisstam1346,Berani ga om omes undang neng lini ya,2025-11-21T09:45:26Z,0
@rendisetiawan7012,Tongkrongan urg sunda jiga kieu.. rameee jirr 😅😅,2025-11-15T18:56:42Z,0
@windywulandari4460,"Asli ngakakkkkk😂😂😂😂
Baru sekali ini nonton masuk ke podcast nya, iih suka ❤😅🥰💃",2025-11-14T11:27:04Z,0
@Iyanjacksonagnation,Jambal roti 1/4 😂😂😂😂😂,2025-11-13T18:57:30Z,0
@salwaputri125,"pecahhhhhhhhh gokillll, ketawa terus tiap menit",2025-11-12T07:08:01Z,0
@Ryoheihayashi-b6l,"Salasa,rebo,jumaah : Sarboah 🤭ahaha heeuh hideuh ari si iky teu kira2😆😆",2025-11-07T06:55:18Z,0
@SitiKhodijah-u1i,Respect banget nih bapak-bapak,2025-11-06T01:56:00Z,0
@littaratri5270,Wkwkwkwk,2025-11-05T05:11:37Z,0
@dellaastriyani2710,demi apapun ngakak sampe nangis🤣🤣🤣🤣🤣,2025-11-03T15:28:36Z,0
@SariPutri-x6v,Kwkwkwkw bapak2 kocak bgt pas ngomongin harga2 kebutuhan bayi 😂😂😂,2025-11-03T12:49:08Z,0
@MutiaraAgustin-g3k,Anjir paguyuban urang sunda euy 😂😂😂,2025-11-02T08:57:53Z,0
@yogisaputra2546,"Darto anjing 😂😂😂 diem dapet duit ,,,, tapi lanjutkan icon bang keren",2025-10-30T19:39:38Z,0
@heriniseptiana6925,Gak brenti ngakaaaakkkk..🤣🤣🤣🤣,2025-10-30T16:20:52Z,0
@sherlymarcellyn1373,Dari awal sampe akhir full ketawa gilsss seru banget🤣🤣,2025-10-30T09:08:43Z,0
@sherlymarcellyn1373,"Nu garelo hgkl ieumah dihijkeun, tekuat hayang seuri🤣🤣🤣",2025-10-30T09:03:57Z,0
@LOLSnap-93,Ngedadak sunda vibes 😂😂,2025-10-29T07:19:37Z,0
@dellarosliana8273,Seru bgtttt sampe teu karasa,2025-10-28T07:04:39Z,0
@ulanur6237,Surya kayk aku banget klo ada yg bahas t*i rasanya pingen mual,2025-10-28T06:01:34Z,0
@Yurichinatsu08,Putu : pencari uang tenaga uap,2025-10-26T15:27:36Z,0
@diannughie4737,asa nonton parodi Sunda euy wkwk,2025-10-26T02:51:29Z,0
@andreaanggisaputra1315,Anjir nggok dari keluarga spanyole,2025-10-24T23:13:21Z,0
@LaundryLaundry-pb6uu,Berilah contoh untk tunas bangsa ..tanpa harus menggunakan bahasa hewan...,2025-10-24T06:33:32Z,1
@LaundryLaundry-pb6uu,Lepas kan bhs hewan yg gk pantas untk di dengar ...kalian punya anak2 jngn sampe nonton dn tau mulut bpk nya se kasar itu,2025-10-24T06:32:54Z,1
@LaundryLaundry-pb6uu,Alangkah baik nya mas2 atau bpk2...kalian pablik figur...tolong bahasa hewan nya di telan dulu...krn mungkin ada anak2 di bawah umur yg nonton...,2025-10-24T06:31:52Z,1
@purwatiwati3206,Bener kok pakai ujug tiker di potong fikik aja biar cegukan nya ilang,2025-10-24T02:53:53Z,0
@nahdaalnaira9650,Seruuu bangett obrolan bapack bapack yng satu frekuensi giniiiii😂😂,2025-10-24T01:57:24Z,0
@NorFaridah-v2u1w,Klau jd iki aku diem aja gak ketawa soalnya gak lucu,2025-10-22T22:46:21Z,0
@BalindaRista,"aih itu nama Aku, Balinda.
Padahal ga ada darah bali, tp ada sunda nya sih hhehe",2025-10-22T08:10:17Z,1
@efifitriani4773,"Bang surya udah Haji, jangan sebut2 anjing lg donk",2025-10-21T13:40:29Z,0
@ichalcuex9259,ok,2025-10-21T08:20:58Z,0
@najilanajili1072,KTP 30 senti kmha mawana 😂,2025-10-21T05:09:43Z,0
@RandomPisan-o9p,Sunda prideeeeee😂,2025-10-19T15:53:56Z,1
@BaoSukarta-i9x,Neks Reza arab dong😊,2025-10-19T10:33:00Z,0
@uwietrp,Percaya ga percaya. Anakku udah 7thn tp ada bau mulutnya yg masih bau waktu dia bayi loh kecuali bangun tdr yah haha,2025-10-19T08:00:55Z,3
@sekuljulid1528,riiill obrolan bapak-bapak,2025-10-19T04:07:23Z,0
@dewialfi2058,"Wkwk ""sensitif sama rusak beda"" 😂",2025-10-18T17:02:02Z,0
@maulanaikbal7684,Undang Ageng Carlitos min,2025-10-18T12:29:52Z,0
@yusrianaadnan,"Iyaa bener tuh kak omesh...jangan sampe beda2in tiap anak fasilitasnya, kecuali ada beberapa item yg bisa diturunin",2025-10-18T00:27:53Z,1
@ghiaroy8232,Lebih malu lagi kalo ngadanin jadi takbir 😅,2025-10-18T00:26:37Z,0
@yusrianaadnan,"Kaki Lima, kirain wrg pecel kaki  5🤣🤣",2025-10-18T00:21:21Z,0
@DeviFitriyanti-m9j,Pecahh😂,2025-10-17T16:14:35Z,0
@pakehurufN,anyink 4 urang sunda,2025-10-17T10:53:30Z,0
@NiqUniq,Sumpah ngakak banget 😂😂😂,2025-10-17T09:32:02Z,0
@NiqUniq,Ngakaaaak 😂😂😂,2025-10-17T09:29:16Z,0
@madesukreni69,ini baru je ngakak parah,2025-10-17T07:03:23Z,0
@HaniIslamiati,Mantap pisan enak seuri wkwkwkw😂😂,2025-10-16T15:42:58Z,0
@HaniIslamiati,Mantap pisan enak seuri wkwkwkw😂😂,2025-10-16T15:42:54Z,0
@ekakusnadi3152,"Omes ampun ,aing ampe nyurcud cai mata gara gara seserian",2025-10-16T13:23:39Z,0
@ElyaNurhanifa-b6n,Seru banget⭐️⭐️⭐️⭐️⭐️,2025-10-16T13:04:33Z,0
@liarahmawati5364,pecah banget gilaaak🤣😭😭,2025-10-16T04:48:20Z,0
@grifiherfika4026,"Gara2 nonton short duluan, nyari pake keyword ""podkesmas asep jaelani""",2025-10-15T16:31:02Z,0
@rasultriputra7653,"RIZKY FEBIAN EMANG LUAR BIASA, TIADA TARA KALAU UDAH BERNYANYI. EMANG MULTI TALENT  #SALAMDARIPADANG KY
TETAP RENDAH HATI DAN TERUS BEKARYA.",2025-10-15T16:01:33Z,6
@ketutmertaasih8383,Dari awal nonton podcast ini ngakak terus😂😂😂,2025-10-15T14:24:49Z,0
@asepfulloh9157,"Shelina 
Panglan y lina,,ibu y iki almarhum",2025-10-15T08:36:05Z,0
@QwertyQ-t5f,Sarboah plis 🫵😹,2025-10-15T08:36:01Z,0
@adeliaramadani6946,Tongkrongan bapak2 ini seru jga 😂,2025-10-15T06:37:16Z,0
@nadaaina67,"iky kek'y d undang kmn aja seru ya.. gampang bgt bergaul, nyambung ma sapa aja",2025-10-15T05:55:47Z,0
@miliamili-x7r,42:20 ngakak parah ya ampun,2025-10-15T05:46:58Z,0
,"eh baru ngeh dari pak surya bahasa sundanya hernia itu burut, di dayak hernia itu burut juga",2025-10-14T15:05:36Z,0
@AdriansyahRiswan,lucuu pisann mang euyy mun rada nyunda kieu teh kaciwwwwww,2025-10-14T13:02:36Z,0
@0900807242,Ajaaaaal😂,2025-10-14T02:54:41Z,0
@oktanurhasanah6757,nyesel bat w kali ini makan smbil nnton podcast😢,2025-10-14T01:34:21Z,0
@NaylaPiero,😂terngakak podcast ini,2025-10-13T22:23:31Z,0
@rifkypratama69,Tiap buka medsos selalu denger lagu itu 😷,2025-10-13T20:33:48Z,0
@edahzubaedah4382,Pecah bgt ketawa trs 😂😂😂😂❤,2025-10-13T12:21:15Z,0
