userName,score,at,content
Jufri Mks,5,2025-12-11 16:55:21,butuh riset kata sandi
haryoto rivai,5,2025-12-11 16:45:24,Saya sangat puas dengan pelayanan setiap kali saya beli BBM terutama pom yang berdekatan dengan tempat tinggal saya di Lenteng Agung Jagakarsa
Kujang Swimclub,5,2025-12-11 16:38:05,ok
Noch Hati,5,2025-12-11 16:36:37,ok
Elni Fitri,1,2025-12-11 16:36:28,aplikasi gk jelas lelet.
Kupu Kup,1,2025-12-11 16:10:10,aplikasi bikin emosi
Johan Andri,1,2025-12-11 15:00:13,tidak bisa tampilkan sisa kuota BBM.
Candra Okta,5,2025-12-11 14:26:03,oke
kamaludin Budiman,5,2025-12-11 14:18:02,keren
Afni Noor firstiani,1,2025-12-11 13:34:19,susah banget buat daftar doang. payah nih apk dan adm pertaminanya
Rifqy Ari,5,2025-12-11 13:12:52,mntepp
Chloe Lauw,5,2025-12-11 13:03:05,baik bgt..bener2 diarahkan cara pemakainya dispbu m.yamin medan..recomended pegawainya baik n ramah..
Ariust W,3,2025-12-11 13:02:03,kenapa punya saya masih belum di verifikasi ya. lama banget prosesnya
IQBAL SIDIQ RABBANI,1,2025-12-11 12:36:58,verifikasi email lama
Cahaya Media Tuba,5,2025-12-11 11:53:11,siip
ndra ardiyan,3,2025-12-11 11:52:17,bentar bentar update
Coach San,5,2025-12-11 11:50:36,"tolong tingkatkanblg disetiap SPBU bisa pakai my pertamina, dan perbaiki juga pada saat scan barcode my pertamina tidak lemot membacanya. terimakasih."
Satria Siregar,1,2025-12-11 11:45:41,"makin kesini makin dipersulit, sistem aneh, fomo bikin aplikasi, otp lama masuk, AI yang ngasal ngecap KTP, bilang editan, gimana mau ngedit? itu difoto realtime, kecuali upload dari galeri"
Fadli HidayatS,1,2025-12-11 11:43:09,"kode verifikasi ke email tidak muncul padahal alamat email sudah benar, sekalinya muncul 15 menit kemudian ketika waktu tunggu input kode sudah habis, mohon bantuannya min"
Harun Al Rasyid,5,2025-12-11 10:48:44,ok
Har tanto,5,2025-12-11 09:57:05,sangat memudahkan saat pengisian pertalite di SPBU manapun
Sarlina Saputri,5,2025-12-11 09:22:37,bgus ski my pertamina
Kucing Orange,1,2025-12-11 09:07:22,aplikasinya buruk
radinal rambe,1,2025-12-11 09:05:35,perlu otp. otp baru masuk 1 jam kemudian otp udah tidak berlaku kebobrokan apa lagi ini? buat aplikasi aja mempersulit
Edie Tinoe,5,2025-12-11 08:43:51,bagus
Syamsul Erlangga,1,2025-12-11 08:19:44,gagal twrus dan apk totlol
Mochamad Khoirin,2,2025-12-11 08:16:20,lambat banget untuk mendapatkan kode otp nya. parah banget..
Donny Molangga,5,2025-12-11 08:07:30,mantap
Rindu Bee,1,2025-12-11 08:05:31,"Aplikasi yg sangat menguras emosi, udah dicoba berulang2 malahan data ditolak2, pake data baru juga NIK dan STNK tdk sesuai, bukanya mempermudah malah tambah ruwet, sperti ijazah sono....maaf anda hanya dapat 1 bintang saja"
Agung Syahputra,1,2025-12-11 07:28:52,OTP NYA LAMA PAKE BANGET KALI UNTUK MASUK KE EMAIL
Jimbaran 12,5,2025-12-11 07:07:00,bagus
putri ayu andini,1,2025-12-11 06:33:24,"kode otp buka login doang dikirim 8 jam setelahnya, seburuk itu kah handle aplikasi ginian?"
De Juned,5,2025-12-11 06:19:07,ok
Mba suka review,1,2025-12-11 06:14:08,aplikasi gethuk kirim KODE OTP aja lama bgt kayak cari pasangan hidup🤧aplikasi jelek
Eu Pro,1,2025-12-11 06:13:53,lucu sih.. mobil angkutan barangnya ada STNK ada tapi pas isi solar ga bs cuma karena barcodenya gagal daftar terus. aplikasi bukannya mempermudah malah bikin ribet. harusnya yg wajib punya aplikasi itu dari si pihak SPBU. jadi si pihak SPBU cukup misal input nopol yang ada di STNK kalo masuk kategori subsidi yudh boleh diisi.. kalo yang skrgkan malah di salah gunakan dan dijual belikan barcode sama oknum.. aneehh
Dera Pis,2,2025-12-11 05:46:15,"sebelumnya sy mendapat subsidi tepat biosolar dan kendaran pick up th 2001 akan tetapi setelah di upgrade pengajuan sy selalu di tolak trus alasan di minta dateng ke samsat, uda dateng dan berusaha mengurus kembali hasilnya masih nihil di tolak, sy terpaksa dr juni sampai sekarang memakai dexlite bayangkan berapa uang yg hrs sy kluarkan setiap kali sy mengoprasikam pick up mobil tua itu, di apk mypertamina, untuk cc melalui VC ta bs chat dg nadya ta bs uda msukin email OTP ta dkrm, perbaikilah!!"
Krisna raka Dp,1,2025-12-11 05:42:42,banyak error
Wildan islandi,4,2025-12-11 05:15:13,"tolong untuk pengembang uplikasi, email otp lama banget buat masuknya keburu kaldaluarsa .. masa mita minta kemudian 5 jam kemudian baru masuk ..dikirim melalui WA pun sama.. selebihnya bagus .. trimakasih pertamina"
Risad Sialana,5,2025-12-11 04:19:48,kren
Ud Yuhio,1,2025-12-11 02:53:36,"He bilang sama pempinan kalian, jangan aplikasi nya yg kalian perketat. tetapi SPBU nya kalian awasi. karna bnyak SUAP sana sini. mendaftar aja di persulit padahal mobil ayla. otp tidak masuk2. eh setelah itu ditolak sudah nunggu 4 sampai 5 hari. ya tuhan kok tegalah kalian sama kami rakyat kecil, terakhir saya tidak bisa isi minyak"
Ayu Lestari,1,2025-12-11 02:47:44,sangat baik
Bambang Sudiono,3,2025-12-11 02:01:30,ok
JM KACA & ALMUNIUM,1,2025-12-11 01:53:16,"masa kode OTP nya hanya berlaku 1menit sementara saya menerima kode OTP 1jam kemudian otomatis gk bisa digunakan, minta kode ulang selalu di terima terlambat. bagaimana kode OTP bisa digunakan. tolonglah diperbaiki. pertamax susah dicari pertalet harus pakai barkode terus kami harus beli pakai apa. sama saja bohong kan"
Kevin Febianson,1,2025-12-11 00:58:12,"download kode barcode nya harus masukin otp,tapi otp nya lambat masuk nya,toling perbaikin lagi sistem nya"
Hanto Prija,1,2025-12-10 23:27:43,"keluh kesah WNI, BUMN dikelola macam anak terbelakang, woii Pertamina menguasai hajat hidup orang banyak nyusahin orang banyak. kode otp baru masuk 2-3 jam an, barcode tak permanen , Webny pun forceclose muluk..hidup cuma sekali jadi WNI."
Maryono Utomo,1,2025-12-10 22:51:41,sistem bosok ra satset nyok munyok
Topek Sapala,1,2025-12-10 22:14:29,respon kode otpnya sangat lambat
Gunawan Gugun,5,2025-12-10 21:26:23,praktis
Ipan Ipan,5,2025-12-10 20:24:25,pertamina semakin mantap wae
Feter Darmawan (Feter Darmawan),3,2025-12-10 20:09:04,mohon perhatikan minta OTP dari email lelet banget kenapa ya? minta OTP pagi emailnya masuk malam.
Lilis Nurlena,3,2025-12-10 20:08:07,saya daftar dan sudah lengkapi profil mslah kelurahan saya nggak ada bagaimana ni min mohon untuk perbaikannya
Muhammad buyung yasli,5,2025-12-10 20:03:01,enak ga perlu ngantri
Rachmadian Priamawan,5,2025-12-10 19:35:50,ok... sayang Pertamina harus melakukan perbaikan server dikarenakan kok bisa klo hujan kok SPBU trouble jadi ga bisa ISi bensin... 🤔🤔 jaman apa ya ini?
Budi Setiyadi,5,2025-12-10 19:20:36,satset disaat buru buru
Arie F,1,2025-12-10 19:09:45,"Di Indonesia doang mau beli bensin bukan nyolong tp di persulit taik, verifikasi email ga nongol2...kelas BUMN kek gini...mau kesebelah malah di sabotase..maunya kek gmn pertamina?"
Hery Setiawan,1,2025-12-10 19:08:06,ini aplikasi apa bikin susah aja kode otp gk ada masuk - masuk. mau daftar aja susah
Wenny Syahidin,1,2025-12-10 19:07:00,"parah banget. . konfirmasi lupa kata sandi tidak segera di kirim. iseng coba buka Gmail lagi, eh ternyata selang beberapa jam baru ada kotak masuk terkait konfirmasi sandi baru"
asid arba al zahro,1,2025-12-10 18:39:52,buruk x pun pelayanan aplikasi ini!!!!
Septian Pratama (Tb Septian Pratama Bachri),1,2025-12-10 17:55:00,Ga jelas
Adelia Nozy,2,2025-12-10 17:25:00,kenapa waktu pengiriman otp ke email kok ga ke kirim kirim ya
Jwan Endrico2627,1,2025-12-10 17:08:10,apa lah ini aplikasi BUMN gk bagus amat pindah akun sama lupa sandi ribet banget
rakhmat berlian,1,2025-12-10 16:58:05,"bikin repot bikin riweuh,, mau isi minyak aja ribet,, subsidi tepat apanya,, mau daftar repot, otp ngak ada respond,, call centre ngak ngasih solusi, cuma nyuruh sabar, alasan sistem perbaikan, tunggu saja, kl ngak nanti malam besok, terus aja gitu.. mau isi pertamax sama pertamax turbo, malah habis di spbu, ngak tau kapan ada lagi... mohon perbaikan.. jgn liat sebelnya, tapi jadiin perbaikan biar amanah.."
IFA1T1 - TEGAR WITJAKSONO,1,2025-12-10 16:54:53,"format nomor telepon salah terus, bagaimana inii"
Wiwin Yawati,1,2025-12-10 16:37:28,"update mulu, terlalu sering update hingga mengganggu saat melakukan pembayaran via my pertamina"
Rinnaldi Adhitya Nugroho,1,2025-12-10 15:11:42,tidak dapat menerima kode OTP dari Gmail. sudah pilih opsi bantuan hingga kirim pesan tapi tidak ada respon sama sekali
Haryatno Utomo,1,2025-12-10 15:01:25,"aplikasi ga ada guna,,mw daftar subsidi pertalite susah minta ampun"
yosua M. J,5,2025-12-10 14:58:57,sangat membantu kita dalam pembayaran
cing cam,1,2025-12-10 14:53:53,"aplikasi tidak berguna, main bayar di spbu baru bisa"
Rudy Sohar,5,2025-12-10 14:49:18,mantap
Hadiumar Isman,5,2025-12-10 13:58:20,selama ini tidak ada kendala
Awolf Gaming,1,2025-12-10 13:37:18,verifikasi email otpnya gak masuk2 aplikasi cacat parah
achmad liwaussalam,5,2025-12-10 13:32:53,ok sip
Dodo Wae Lah,5,2025-12-10 13:23:23,sedikit ribet karena harus pakai OTP
Dwi Ono,4,2025-12-10 12:55:09,semoga semakin baik
hy pay,1,2025-12-10 12:12:40,aplikasi ttaiii mau ferifikasi email bilang nya link di kirim ke email nyatabya nggak ada ttaiii
Iqbal laban Muhazir,1,2025-12-10 11:32:46,uang saya hilang Rp.500.000 di maypertamina hati hati buat kalian yag mengunakan maypertamina
Muhammad Erick _The Rick,5,2025-12-10 11:03:03,Kenapa Susah Login Ulang untuk Subsidi Tepat di My Pertamina ? Kenapa Kode Verifikasi Tidak Dikirimkan k Email Padahal Perintahnya Suruh Cek 6 Kode Verifikasi di Email ?? Kenapa Pertamina Tidak Respon ??
Adrimas Abu Hafiz,5,2025-12-10 10:29:08,mantap aja
EKO WAHYUDI,2,2025-12-10 10:12:34,setiap saya mau mebayar d spbu qris sbpu selalu tidak dikenal bagaimana tolong dibantu
Nirma Muliati,5,2025-12-10 09:44:15,trims my pertamina buat acara kemarin selasa 9 des 2025 d pertamina samping Moll SMS bersama driver lady... trims buat souvenir nya sy setia dg pertamax... semoga poin2 setiap transaksi memberi kepuasan buat kami pelanggan pertamina 👍👍👍
Fauzi Muhammad,3,2025-12-10 09:02:04,terlalu sering update. saat proses pembayaran butuh waktu loading lama
M.zuhri Ardiansyah,1,2025-12-10 08:55:50,aplikasi sangat susah di gunakan
Zain17,1,2025-12-10 08:52:45,katanya 500 perliter tertanggal 10/12/2025 nyatanya bohong lah
aris Aquarius,1,2025-12-10 08:20:43,jelek
Katilong Wae,5,2025-12-10 08:16:20,luar biasa
BENAYA MANIK,4,2025-12-10 08:08:06,saya tdk dapat2 email OTP ke email sudah berpuluh kali coba. itu kenapa ya?
Ikhtiar Laia,5,2025-12-10 08:00:13,Tingkat terus pelayanannya. Terimakasih
Ivan wahyuaje Ivan aja,4,2025-12-10 07:51:00,cukup informatif produknya
FJP• gaming,1,2025-12-10 07:43:40,"untuk mndptkan subsidi sngat2 susah brpa kali mndaftar brp kali ditolak walau dilain2 hp , mhon permudah 🙏"
Jazz,5,2025-12-10 07:29:58,kita bisa beli 1 strip 10 liter harga manut 😀😀😀😀
Adri Anta,3,2025-12-10 07:13:12,"Tambahkan Fitur stok ketersediaan BBM di SPBU, karena SPBU Pertamina sering kosong alasan terlambat Distribusinya"
Jamil Manyaratus,5,2025-12-10 07:08:33,mandukung
Ade Darman,5,2025-12-10 04:30:09,mantap bro
Antoni Cea,5,2025-12-10 04:25:37,thanks pertama
Hengki Nelson,5,2025-12-10 01:45:18,kenapa kadang tidak bisa skend barcode seperti gangguan jaringan
Muhammad Thoha,2,2025-12-09 23:18:51,barcode di mesin EDC di pom knp suka ngeblur ya?ini yg bikin lama scan sama bikin antre panjang beda sama barcode qris yg satset tolong di perbaiki
Umbu Moff,1,2025-12-09 22:37:07,saya sudah bolak balik cetak ulang stnk foto stnk sudah jelas tapi di tolak mulu sudah 7 kali percobaan saya tunggu selama 5 hari tidak sampai 5 hari sehari saja langsung di tolak alasannya foto stnk tidak jelas bahan bakar tidak terbaca apalah sudah jelas jelas rapi dan terlihat padahal cetakan baru TOLONG DI Perbaiki DONG INI NAMANYA MEMPERSULIT
Prilly Lyy,5,2025-12-09 21:44:25,baik
Rudi Jalan Lagi,5,2025-12-09 21:38:54,"bagus bermanfaat transaksi di spbu, ada promo"
Susanto Antoto,5,2025-12-09 20:35:12,mantap. dan mudah di pergunakan
mintarsih mien,4,2025-12-09 20:03:31,sangat membantu kami aplikasi ini
Zainal Arifin,1,2025-12-09 18:49:26,lambat
Fadhilah Nur'aini_CAM 1 (PSBGEL1),4,2025-12-09 18:09:44,apakah bisa melihat riwayat pembelian bahan bakar subsidi?
Maikel Haryanto,1,2025-12-09 17:40:08,Aplikasi Bapuk
Dobyi Bandetsz,5,2025-12-09 16:14:09,memuaskan
Zainiyatul Hilmi,1,2025-12-09 16:12:54,mempersulit rakyat
Muchlis AHM,5,2025-12-09 15:56:50,bagus dan cepet
Ahmad Suhana,5,2025-12-09 14:56:59,kemudahan transaksi
Mohammad Rian,1,2025-12-09 14:30:17,"Mohon bantuan nya, sudah 2 hari saya mendaftarkan kendaraan saya tetapi selalu di tolak dengan alasan STNK telah di blacklist. Saat saya menghubungi via video call selalu loading tanpa pernah terhubung sama sekali."
Joko Ariadi,5,2025-12-09 14:20:35,"awal daftar agak susah utk verifikasi, tp pnggunaan cukup mudah. banyak promo2 asik"
Bois Linggau,4,2025-12-09 13:18:31,mantap
Galatus FC,3,2025-12-09 12:51:09,"TOLONG KASIH FITUR INFORMASI HARGA BBM DI APLIKASI INI ,TERIMAKASIH."
Luqman hakim,3,2025-12-09 12:41:11,"sebenarnya bagus aplikasinya, tapi kenapa gak ada bank BCA. nanti kalau ada Bank BCA, saya kasih bintang 5"
Purwati SKep Ns,5,2025-12-09 12:31:30,memudahkan
Nugroho Adi,5,2025-12-09 12:10:35,ok
berburu permata,1,2025-12-09 12:08:31,"kenapa selalu gagal? sudah sebulan daftar ga bisa2, verifikasi data diri ditolak, ektp tidak asli. apanya y tdak asli, saya foto langsung dr ktp.. app paling konyol sedunia. saya beli bbm bukan mau minta."
bruce sugianto,5,2025-12-09 11:36:17,Memberi kemudahan bertransaksi
Yesi Sulastri,5,2025-12-09 11:26:21,ok
Epul Saepul Milah,5,2025-12-09 11:12:43,goooddd
Herul Saja,1,2025-12-09 09:50:36,tidak bisa mendaftarkan kendaraan. ribet
jajat sukana,5,2025-12-09 09:42:05,ada perubahan bagus👍🫰 jangan memusingkan masyarakat
Sananto Tedang,5,2025-12-09 09:14:36,"Aplikasi sangat membantu dlm pengisian bbm, ada gimmik promo2x juga"
Aruna Petir,5,2025-12-09 09:00:37,aplikasi sangat mudah
Dia Anggraini,5,2025-12-09 08:38:41,ok
Ilham Alivian,1,2025-12-09 08:33:02,"barcode tidak bisa, daftar akun baru dengan nik baru untuk dapatkan barcode dipersulit dengan proses pendaftaran, dengan alasan no NIK tidak sesuai dwngan foto KTP, padahal sudah benar. mengecewakan. gak jelas!"
alamsyah kusairi,5,2025-12-09 08:30:05,"informasi cepat, aplikasi mudah dipahami 👍"
Ro Cha,1,2025-12-09 07:24:25,Menyusahkan daftar subsidi Tepat
fakek Plur,4,2025-12-09 07:18:00,"sesudah di update beberapa bln lalu,sekarang mypertamina gak bisa lihat riwayat tempat spbu nya.padahal itu sngat membantu,apalagi kalau mobil rentalan yg gak ada gps nya.jadi kita bisa lihat mobil kita ada di mana2 nya."
Nanda,1,2025-12-09 02:15:55,gagal memproses
Aku Nana,1,2025-12-09 01:45:39,"buruk banget, mostly di setiap pertamina bahkan hampir seluruh pom yang saya datangi gabisa pake, padahal harusnya aplikasi ini bisa mempermudah pembayaran buat yang tidak pegang cash, dan hanya terpampang banner my pertamina di jalur motor tapi gabisa dipakai, tolong coba diperbaiki sistem yang begini, kalau begini terus gimana negara mau maju kalau manajemen nya masih berantakan dan terus berlaku seperti itu"
Agus Tri cahyo,5,2025-12-08 22:03:27,sebenernya bagus tapi masalah nya bikin barcode mobil ganti plat nomor saja susah minta ampun sampek dibawakan BPKB asli tetep gak bisa ini rata2 keluhan sopir truk benar dan nyata dilapangan
Fera Della Ayunda,1,2025-12-08 20:45:39,masih tidak bisa meupload stnk dan kendaraan walupun sdh di hapus cache dan di restrat. lewat website pun harus pakai kamera depan. apakah tidak ada menu upload dari galery biar mempermudah. mohon solusinya
Rishadi Agus,1,2025-12-08 18:43:44,Aplikasi gak berguna gak bisa dipake
Serdian Amirzan,1,2025-12-08 17:49:40,"verifikasi harus menunggu 14 hari, lama banget"
Lukman HM,1,2025-12-08 17:18:27,"daftar akun subsidi susah ribet, masa foto KTP asli dianggap editan masuk aplikasi nya lama banget pokoknya sistemnya kacauuuuuuu"
Fajar Dody Rusdiansyah,5,2025-12-08 17:08:00,SPBU yg memiliki layanan pembelian BBM menggunakan app mypertamina sangat membantu pelanggan dalam mengurangi antrian sperti pelanggan yg TDK pakai app mypertamina seperti contoh SPBU jl Bantul.. semoga SPBU yg Laen BS mencontoh.. maju trus mypertamina..
Mutiara Nurul islam,4,2025-12-08 16:27:51,ingin log in tapi format no handphone salah terus
agus kurniawan,5,2025-12-08 14:17:04,penggunaannya memudahkan
Hari Tio Prakoso,1,2025-12-08 13:52:05,aplikasi nyusahin. verifikasi lama banget. qr merah terus di scan
Rizal dhayu,1,2025-12-08 12:15:31,"Pertamina beban negara, aplikasi tidak jelas, sering error🤮"
